-- SG    KRG    KROG   PCOG
SGOF
0.38469388 0.17791126 0.41087757 0.11642036
0.39387755 0.18658892 0.39902706 0.11756164
0.40306122 0.19540326 0.38729273 0.11873715
0.41224490 0.20435217 0.37567573 0.11994865
0.42142857 0.21343368 0.36417726 0.12119800
0.43061224 0.22264587 0.35279856 0.12248723
0.43979592 0.23198691 0.34154090 0.12381849
0.44897959 0.24145504 0.33040560 0.12519412
0.45816327 0.25104860 0.31939402 0.12661665
0.46734694 0.26076594 0.30850756 0.12808879
0.47653061 0.27060553 0.29774767 0.12961351
0.48571429 0.28056586 0.28711587 0.13119401
0.49489796 0.29064548 0.27661372 0.13283377
0.50408163 0.30084299 0.26624283 0.13453659
0.51326531 0.31115706 0.25600490 0.13630663
0.52244898 0.32158637 0.24590166 0.13814842
0.53163265 0.33212967 0.23593494 0.14006694
0.54081633 0.34278574 0.22610665 0.14206768
0.55000000 0.35355339 0.21641874 0.14415668
0.55918367 0.36443149 0.20687329 0.14634063
0.56836735 0.37541892 0.19747246 0.14862694
0.57755102 0.38651460 0.18821851 0.15102388
0.58673469 0.39771749 0.17911381 0.15354065
0.59591837 0.40902658 0.17016084 0.15618759
0.60510204 0.42044086 0.16136222 0.15897632
0.61428571 0.43195940 0.15272071 0.16191997
0.62346939 0.44358124 0.14423922 0.16503343
0.63265306 0.45530548 0.13592082 0.16833369
0.64183673 0.46713123 0.12776878 0.17184021
0.65102041 0.47905763 0.11978657 0.17557540
0.66020408 0.49108384 0.11197788 0.17956525
0.66938776 0.50320902 0.10434665 0.18384008
0.67857143 0.51543240 0.09689711 0.18843552
0.68775510 0.52775317 0.08963381 0.19339374
0.69693878 0.54017057 0.08256165 0.19876515
0.70612245 0.55268387 0.07568594 0.20461052
0.71530612 0.56529233 0.06901247 0.21100391
0.72448980 0.57799523 0.06254755 0.21803669
0.73367347 0.59079189 0.05629816 0.22582306
0.74285714 0.60368161 0.05027199 0.23450800
0.75204082 0.61666374 0.04447764 0.24427880
0.76122449 0.62973761 0.03892479 0.25538238
0.77040816 0.64290259 0.03362443 0.26815218
0.77959184 0.65615806 0.02858924 0.28305151
0.78877551 0.66950339 0.02383397 0.30074669
0.79795918 0.68293799 0.01937620 0.32223801
0.80714286 0.69646128 0.01523729 0.34911109
0.81632653 0.71007266 0.01144403 0.38406666
0.82551020 0.72377158 0.00803134 0.43218541
0.83469388 0.73755747 0.00504767 0.50454804
0.84387755 0.75142980 0.00256684 0.63212015
0.85306122 0.76538803 0.00072473 0.96354733
0.86224490 0.77943163 0.00000000 300.00000000
0.87142857 0.79356009 0.00000000 300.00000000
0.88061224 0.80777289 0.00000000 300.00000000
0.88979592 0.82206955 0.00000000 300.00000000
0.89897959 0.83644958 0.00000000 300.00000000
0.90816327 0.85091248 0.00000000 300.00000000
0.91734694 0.86545780 0.00000000 300.00000000
0.92653061 0.88008506 0.00000000 300.00000000
0.93571429 0.89479382 0.00000000 300.00000000
0.94489796 0.90958361 0.00000000 300.00000000
0.95408163 0.92445401 0.00000000 300.00000000
0.96326531 0.93940457 0.00000000 300.00000000
0.97244898 0.95443486 0.00000000 300.00000000
0.98163265 0.96954448 0.00000000 300.00000000
0.99081633 0.98473299 0.00000000 300.00000000
1.00000000 1.00000000 0.00000000 300.00000000
/
0.00000000 0.00000000 1.00000000 0.06120000
0.10000000 0.00000000 0.83448377 0.06500480
0.10918367 0.00103077 0.81978950 0.06539090
0.11836735 0.00291545 0.80518249 0.06578395
0.12755102 0.00535603 0.79066330 0.06618418
0.13673469 0.00824614 0.77623243 0.06659181
0.14591837 0.01152434 0.76189045 0.06700706
0.15510204 0.01514913 0.74763790 0.06743018
0.16428571 0.01909009 0.73347535 0.06786141
0.17346939 0.02332362 0.71940337 0.06830103
0.18265306 0.02783073 0.70542255 0.06874930
0.19183673 0.03259574 0.69153350 0.06920652
0.20102041 0.03760537 0.67773681 0.06967298
0.21020408 0.04284822 0.66403311 0.07014900
0.21938776 0.04831432 0.65042305 0.07063492
0.22857143 0.05399492 0.63690725 0.07113107
0.23775510 0.05988220 0.62348640 0.07163783
0.24693878 0.06596915 0.61016116 0.07215558
0.25612245 0.07224940 0.59693223 0.07268471
0.26530612 0.07871720 0.58380031 0.07322566
0.27448980 0.08536725 0.57076613 0.07377887
0.28367347 0.09219468 0.55783041 0.07434482
0.29285714 0.09919501 0.54499393 0.07492398
0.30204082 0.10636406 0.53225745 0.07551690
0.31122449 0.11369795 0.51962175 0.07612412
